cat,value,SOIL_ID,NDVI_MEAN,DEM_ADJ,ROUGH_MEAN,SLOPE_MEAN,SLOPE_VAR,PLANCURV,POU_WAM,R_Index,label,is_prototype,similarity,reliability_positive,reliability_negative
2972,4025,200,-0.126536361,-1.541649913,-0.575422173,-1.322320715,13.04772392,-0.194559077,0.196091435,-0.067730761,1,1,0.623973784,0.623973784,0.376026216
4349,461,200,0.236715968,-1.423434096,-1.175115687,9.73441E-05,10.90183407,-0.274025048,-0.373259072,-0.641522279,1,0,0.678834779,0.678834779,0.321165221
5554,9661,200,0.90101477,-0.107893832,0.320270891,0.609456309,16.34664117,0.088620036,-0.536155495,-0.731962806,1,1,0.658352259,0.658352259,0.341647741
5677,9732,200,-0.61657724,-1.609795209,-0.555749983,-0.458993541,13.19113248,0.336483364,0.562879617,2.897055188,1,0,0.461164305,0.461164305,0.538835695
4802,417,200,-0.742483004,-1.768627828,-1.328994439,-2.933541617,9.915345627,0.21476076,0.590222545,-0.86678841,1,1,0.449066995,0.449066995,0.550933005
2327,1526,200,0.873918547,0.135896134,-1.058093431,-0.274550363,11.19775583,1.322842386,-0.073500088,-0.142812848,1,0,0.364122063,0.364122063,0.635877937
4659,438,200,-0.077776753,-1.389796353,-0.887165038,-0.116525375,11.92279508,-0.752130156,-0.098280559,2.535495165,1,0,0.46994137,0.46994137,0.53005863
5317,9576,200,-0.078727477,0.10745633,0.859346477,1.421100216,18.34825812,-0.555347009,-1.31059606,-0.818217863,1,1,0.395918837,0.395918837,0.604081163
4637,9320,200,0.501572382,-0.78212117,0.589231881,0.602844382,16.99710591,-1.093191576,-0.951308858,-0.783044838,1,1,0.699225694,0.699225694,0.300774306
4794,9331,200,0.648727865,-0.601245733,0.7195113,0.896024022,17.75384423,-1.406958949,-1.056195356,-1.140589569,1,0,0.499104576,0.499104576,0.500895424
5458,9626,200,0.025582789,-1.113629105,1.139302187,0.481632671,18.78858972,0.682298129,-0.413406637,1.181821168,1,0,0.577474952,0.577474952,0.422525048
4079,4561,200,-0.184260122,-1.464297498,-0.526476479,-1.737949672,13.65256957,0.587574085,0.373687813,-0.07717919,1,1,0.581998539,0.581998539,0.418001461
5468,9638,200,-0.048620566,-1.324654378,-0.725776371,0.223982705,12.59673362,0.083460021,-0.067026611,2.193850734,1,0,0.633960804,0.633960804,0.366039196
5391,100,200,0.198754122,-1.339073208,0.291803773,0.160856363,16.14657152,0.963356018,0.370185104,0.38800482,1,1,0.667962736,0.667962736,0.332037264
3062,3860,191,0.932633793,-0.115110467,1.544285193,1.30679475,20.10500077,-1.119256149,-0.338511042,-0.676559076,1,0,0.377990147,0.377990147,0.622009853
5410,9598,200,-0.184565739,-1.710513987,1.027270505,0.70596362,19.07141263,0.185335774,1.263166667,0.527713877,1,1,0.497969001,0.497969001,0.502030999
3901,6071,200,0.229857021,-0.241726954,0.3511335,0.959216047,16.18723586,1.293388498,-0.412691452,0.601954063,1,0,0.521912678,0.521912678,0.478087322
4044,4496,200,0.830252168,-1.330950779,0.03312178,0.247831573,15.44538451,1.554668976,0.466774011,-0.262937711,1,1,0.613703593,0.613703593,0.386296407
4462,4544,200,0.199059618,-1.475058887,0.5582573,0.763148782,17.19099743,1.334024377,0.827631667,-0.369398053,1,0,0.624009224,0.624009224,0.375990776
4578,6568,200,0.060896108,-0.640556407,0.067606709,0.987058807,15.44116965,0.732144822,1.034351538,-0.981575544,1,1,0.677750913,0.677750913,0.322249087
5676,9769,200,-0.489788651,-0.817612836,-0.152892136,0.86483727,14.53425722,-1.196976722,-0.91143252,0.284800994,1,1,0.535967989,0.535967989,0.464032011
5696,83,200,-0.2847497,-1.692376974,-0.192393854,0.562317835,14.34299868,0.487748824,0.400168243,-1.255800397,1,1,0.677856162,0.677856162,0.322143838
5358,10261,200,1.002676434,-0.148352134,0.211300053,0.40611587,16.18418464,0.890215264,-0.371718806,1.091328304,1,0,0.469875212,0.469875212,0.530124788
5512,9630,200,-0.181081926,-1.163874372,0.829599307,0.86150135,17.8273877,-0.011153232,0.275458563,0.472741821,1,1,0.682651754,0.682651754,0.317348246
3335,4057,200,0.254401722,-1.365211361,-0.676497711,0.258502385,12.84790811,0.812246363,0.283879462,0.486738167,1,0,0.689319309,0.689319309,0.310680691
3871,4205,191,0.895880699,-1.197090065,-0.620358455,0.956990989,12.89520745,1.094060601,0.202660405,-0.268337739,1,0,0.605094326,0.605094326,0.394905674
3909,4568,200,-0.774672467,-1.369002215,0.77731214,-1.202732232,18.26456505,0.007381424,0.396819918,-0.448148685,1,1,0.590020259,0.590020259,0.409979741
3924,6054,200,0.208736927,-0.394248826,1.203129354,1.282196217,19.32683348,0.863105855,-1.201882045,0.259097884,1,0,0.405010765,0.405010765,0.594989235
5423,9589,200,-0.37997769,-0.69374949,1.295122614,-0.246934666,19.65697343,-0.964819455,-0.775791498,-0.586277814,1,1,0.46656842,0.46656842,0.53343158
5715,9927,200,-0.379570161,-1.486713094,-1.132557148,-0.162737473,11.04721085,-0.05795559,-0.445462972,0.64096008,1,1,0.500860046,0.500860046,0.499139954
3235,735,200,1.146541922,-0.701209986,0.861114494,1.364913342,17.76853766,0.322966882,0.530091087,-0.65316329,1,1,0.613968801,0.613968801,0.386031199
4378,6515,200,-0.426373991,-0.903084686,-0.150128247,1.376363921,14.67050963,0.958482461,0.549786796,-1.132522655,1,1,0.599266718,0.599266718,0.400733282
3852,6028,200,-0.228498833,-1.134614176,-1.107945464,-1.143180139,11.09545497,0.332188831,0.339560596,3.666005325,1,1,0.465246722,0.465246722,0.534753278
5415,10134,191,0.549578838,-0.739210198,-0.943097562,-0.627908419,11.62804749,0.092859919,0.064454358,0.623943606,1,1,0.652344774,0.652344774,0.347655226
4626,7543,200,0.279431647,-0.838956954,0.23482297,-0.028994451,16.09590751,0.100007694,1.356462528,0.188890124,1,0,0.644124238,0.644124238,0.355875762
2939,9221,200,1.025086877,-0.115605514,0.590171528,0.247107738,17.0887928,0.281621415,-0.225443464,-0.36876349,1,0,0.549164083,0.549164083,0.450835917
2759,658,200,0.655592988,-0.998061362,-1.364057374,0.448216643,10.13590976,-0.098067576,0.28723488,0.150958474,1,1,0.700279846,0.700279846,0.299720154
2776,718,200,1.110959523,-0.353763419,0.214369192,0.838826752,15.69860385,-1.874847863,0.326151398,1.239832271,1,0,0.463801858,0.463801858,0.536198142
4507,9345,200,0.428155164,-0.972627169,-0.215454313,-1.055750607,14.54196244,-0.89135363,-1.48088647,0.323239686,1,1,0.515622009,0.515622009,0.484377991
5109,9549,200,0.140894458,0.015030323,2.137264818,0.641748503,21.48688845,-0.30302659,0.496947357,-0.072488247,1,1,0.605633593,0.605633593,0.394366407
3992,4327,200,0.176751169,-1.54004024,0.321403466,-0.049023331,16.19420072,0.410670692,3.277540383,-0.964207204,1,1,0.586208435,0.586208435,0.413791565
5693,9937,200,-0.127622945,-0.712992704,-0.333778454,0.671689282,14.07127157,0.19833193,-1.606605884,-0.175655152,1,1,0.693173048,0.693173048,0.306826952
5495,9992,200,0.580138442,-0.535356527,-0.796364536,-0.59578316,12.26184449,-0.607123961,-0.264606496,-0.654214385,1,0,0.613335362,0.613335362,0.386664638
4467,4535,200,-0.152885558,-1.604710173,-1.120746181,-0.487740419,11.16779828,0.971871252,0.387561723,-0.010382575,1,1,0.480346856,0.480346856,0.519653144
5351,10262,200,1.159345522,-0.190866182,-0.159722747,0.135727664,14.63868153,0.180441794,-0.980113641,1.015573093,1,1,0.439483159,0.439483159,0.560516841
5586,9686,200,0.250094296,-0.384004197,1.230680968,0.052560481,19.49859978,1.878945321,0.165694762,2.008358056,1,0,0.444705492,0.444705492,0.555294508
5026,9429,200,0.434755977,-1.559470188,-0.294304087,0.233934839,14.26488329,1.362090696,0.291429011,0.178470713,1,1,0.697340297,0.697340297,0.302659703
